Vehicle No. :DL71LH3507 , Slot No. :0 , Fee :1404051631
Vehicle No. :JH65WJ2506 , Slot No. :1 , Fee :1746468628
Vehicle No. :MH60ZX2195 , Slot No. :2 , Fee :1565249493
Vehicle No. :MH08LG3993 , Slot No. :3 , Fee :1634402548
Vehicle No. :JH17YH7916 , Slot No. :4 , Fee :1741309022
Vehicle No. :WB98WN8684 , Slot No. :5 , Fee :1593494027
Vehicle No. :DL38PY4395 , Slot No. :6 , Fee :1433357817
Vehicle No. :KA18SL6963 , Slot No. :7 , Fee :1491889502
Vehicle No. :TN81ZJ5273 , Slot No. :8 , Fee :1632453943
Vehicle No. :TN04KJ9630 , Slot No. :9 , Fee :1543770237
Vehicle No. :RJ82NB6499 , Slot No. :10 , Fee :1623059898
Vehicle No. :TN71VE6728 , Slot No. :11 , Fee :1781072941
Vehicle No. :UP88DL7286 , Slot No. :12 , Fee :1721045368
Vehicle No. :RJ85IR8317 , Slot No. :13 , Fee :1601231502
Vehicle No. :GJ64LS8846 , Slot No. :14 , Fee :1449088011
Vehicle No. :OD22AK1120 , Slot No. :15 , Fee :1411061148
Vehicle No. :GJ40UJ7832 , Slot No. :16 , Fee :1685637945
Vehicle No. :RJ95SD3327 , Slot No. :17 , Fee :1772592628
Vehicle No. :UP34XB9753 , Slot No. :18 , Fee :1600091297
Vehicle No. :OD02GP8832 , Slot No. :19 , Fee :1723933362
Vehicle No. :UP52JP2711 , Slot No. :20 , Fee :1556671485
Vehicle No. :GJ20EG7945 , Slot No. :21 , Fee :1675512639
Vehicle No. :JH02AI2578 , Slot No. :22 , Fee :1762140772
Vehicle No. :KA95JS3488 , Slot No. :23 , Fee :1427396149
Vehicle No. :DL64KD2770 , Slot No. :24 , Fee :1459506238
Vehicle No. :JH18CY9582 , Slot No. :25 , Fee :1735262347
Vehicle No. :MH35TU1225 , Slot No. :26 , Fee :1644572968
Vehicle No. :KA51OA9540 , Slot No. :27 , Fee :1651306228
Vehicle No. :KA68OM1540 , Slot No. :28 , Fee :1522683190
Vehicle No. :KA49QD5785 , Slot No. :29 , Fee :1714884036
Vehicle No. :OD80NP4670 , Slot No. :30 , Fee :1632698930
Vehicle No. :UP57WZ3889 , Slot No. :31 , Fee :1595495440
Vehicle No. :KA80RH2529 , Slot No. :32 , Fee :1404644405
Vehicle No. :UP03EF6802 , Slot No. :33 , Fee :1505058642
Vehicle No. :TN08UV4343 , Slot No. :34 , Fee :1790108914
Vehicle No. :WB70SQ3758 , Slot No. :35 , Fee :1736056233
